Response ID,Questionnaire Type,Session ID,Submission Time,Q1. What agency do you work for?,Q2. At what level do you work?,Q3. What position do you currently hold?,Q4. How many years of experience do you have in road asset management?,Q5. What is your primary involvement?,Q6. Which of the following indicators are primarily used to assess or report pavement condition in the road network you work with?,Q7. To what degree are maintenance planning decisions in your network linked to documented pavement condition data and technical analysis?,"Q8. In your experience, which of the following factors most influence annual maintenance and rehabilitation prioritization in your network?","Q9. Does your agency maintain repeated condition measurements (e.g., IRI or visual surface condition ratings) for the same road sections over multiple years?","Q10. Are maintenance histories (records of when and where routine, periodic, rehabilitation and reconstruction treatments were applied over multiple years) kept and linked to condition data?","Q11. Do you agree or disagree with the following statement? ""Availability of historical pavement condition records and maintenance history information affects planning decisions.""","Q12. Based on your experience, are some types of roads more likely than others to receive condition measurements (e.g., IRI)? If you answer Yes, please complete Q13 below. If you answer No or Not sure, you may leave Q13 blank",Q13. What factors influence measurement coverage in your experience? (Complete only if you answered Yes to Q12.),"Q14. In your experience, does road condition influence where instrumented condition measurements (e.g., IRI) are carried out?","Q15. Do you agree or disagree with the following statement? ""Differences in measurement coverage across the road network influence maintenance planning outcomes.""",Q16. Does your agency use any formal method to forecast future pavement condition?,"Q17. Do you agree or disagree with the following statement? ""Current forecasting approaches reflect actual pavement deterioration patterns observed in the field.""",Q18. What are the biggest barriers to structured deterioration modelling?,If deterioration forecasts wer – Multi-year budgeting,If deterioration forecasts wer – Treatment timing decisions,If deterioration forecasts wer – Network-level optimisation,If deterioration forecasts wer – Risk-based prioritisation,If deterioration forecasts wer – Justification of funding requests,"Q20. Where condition data are missing, how likely are you to consider the usage of analytical methods to estimate condition based on available network characteristics (e.g., road class, traffic level, pavement type, drainage condition, shoulder type, environmental and regional context)?",Q21. Under what conditions would you consider model-estimated or reconstructed condition data reliable for planning decisions?,If model-estimated or reconstr – Network-level performance analysis,If model-estimated or reconstr – Life-cycle modelling and long-term planning,If model-estimated or reconstr – Treatment timing and optimisation,If model-estimated or reconstr – Budget allocation and justification,Q23. How familiar are you with the usage of road infrastructure database for improving road maintenance planning and decision making?,Q24. How familiar are you with the application of Artificial Intelligence (AI) for improving road maintenance planning and decision making?,Q25. How familiar are you with the application of data analytics for improving road maintenance planning and decision making?,Q26. How familiar are you with the application of Multi-Criteria Decision Analysis (MCDA) for improving road maintenance planning and decision making?,"Q27. What practical improvements in data systems, institutional approaches, or technical capacity would most strengthen pavement performance management in Kenya?","Q28. Do you have any additional comments or recommendations regarding forecasting, modelling, or use of condition data in road asset management and planning?"
88,Pavement Management,session_1780509186_bb0f2171,2026-06-03 21:08:11,KeNHA,"Regional office (regional work planning, implementation)",Other (specify): Inspector,5–10 years,Pavement condition assessment; Maintenance planning/prioritisation; Other (specify): Supervision of maintenance works,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a small degree,Budget ceilings; Political or policy direction,No systematic continuity (measurements are not repeated for the same sections),Recorded but generally not linked to condition data,Disagree,No,,No – measurements are distributed similarly across the network,Disagree,"Yes – Structured statistical models (e.g., regression or trend-based models using historical condition data)",Agree,"Budget constraints; Limited integration between data systems (condition, maintenance, planning); Software/tool limitations",Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Very unlikely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Extremely useful,Extremely useful,Extremely useful,Slightly familiar,Slightly familiar,Moderately familiar,Moderately familiar,"Improved coordination among institutions and adequate funding for data collection, maintenance management planning, and system upgrades would enhance evidence-based decision-making and optimize maintenance investments.","Kenya should invest in developing local deterioration models that reflect its climatic, traffic, and construction conditions rather than relying solely on international models which not be efficient and effective for our country."
87,Pavement Management,session_1780465308_b3be3448,2026-06-03 08:51:57,KeNHA,"Regional office (regional work planning, implementation)",Other (specify): Engineer,5–10 years,Maintenance planning/prioritisation,International Roughness Index (IRI); Engineering site inspection without formal rating,To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Political or policy direction",Fully consistent continuity (systematic repeated measurements across years for most sections),Recorded and partially linked to condition data,Strongly agree,No,,No – measurements are distributed similarly across the network,Agree,Informal engineering judgement,Agree,Incomplete or inconsistent condition records; Limited technical skills or modelling expertise; Budget constraints,Large impact,Large impact,Large impact,Large impact,Large impact,Likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Very useful,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Implementation and capacity building would be a good place to start.,Not at the moment
86,Pavement Management,session_1780427213_e83cc11f,2026-06-02 22:24:29,KeNHA,"Regional office (regional work planning, implementation)",Director,> 20 years,Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Emergency requirements; Traffic levels; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)","Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded sporadically and not linked to condition data,Disagree,Yes,Road class/strategic priority; Budget limitations; Equipment availability or personnel skills,Yes – measurements tend to focus on roads in poorer condition,Neither agree nor disagree,No formal forecasting,Disagree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records; Institutional culture favouring established decision practices over analytical modelling; Software/tool limitations",Moderate impact,Moderate impact,Moderate impact,Moderate impact,Moderate impact,Very unlikely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Quantified uncertainty (e.g. confidence ranges); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Moderately useful,Moderately familiar,Moderately familiar,Moderately familiar,Moderately familiar,"Accurate collection, management of huge data 9n road maintenance",Condition data in road asset management and planning is the future
85,Pavement Management,session_1780424959_b09e0a13,2026-06-02 21:47:17,KeNHA,"Regional office (regional work planning, implementation)",Deputy Director,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements",Somewhat consistent continuity (repeated measurements for many sections),Recorded but generally not linked to condition data,Strongly agree,No,,No – measurements are distributed similarly across the network,Strongly agree,Informal engineering judgement,Agree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Difficult accessibility of historical records,Very large impact,Very large impact,Large impact,Large impact,Very large impact,Very likely to consider,"Demonstrated agreement with measured field data; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Extremely useful,Extremely useful,Extremely useful,Very useful,Slightly familiar,Not at all familiar,Slightly familiar,Not at all familiar,Application of Data Driven decision making and sharing of data across departments and agencies,
84,Pavement Management,session_1780424632_f16b414e,2026-06-02 21:34:44,KeNHA,"Regional office (regional work planning, implementation)",Deputy Director,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,Budget ceilings,Somewhat consistent continuity (repeated measurements for many sections),Recorded sporadically and not linked to condition data,Agree,Yes,Traffic importance; Road class/strategic priority,No – measurements are distributed similarly across the network,Neither agree nor disagree,Informal engineering judgement,Neither agree nor disagree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Budget constraints,Moderate impact,Moderate impact,Moderate impact,Moderate impact,Moderate impact,Likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Moderately useful,Moderately useful,Moderately useful,Moderately useful,Moderately familiar,Slightly familiar,Slightly familiar,Moderately familiar,Better records of design and construction data and maintebance history,Life cycle of a road section should be incorporated during planning to ensure pavement performance is monitored and maintenance interventions are selected based on accurate data
83,Pavement Management,session_1780424585_9c9dbd21,2026-06-02 21:32:19,KeNHA,Headquarters (national coordination),Other (specify): Engineer,5–10 years,Other (specify): Highway Design,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a small degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance",Somewhat consistent continuity (repeated measurements for many sections),Not systematically recorded,Agree,Yes,Road class/strategic priority; Budget limitations; Equipment availability or personnel skills,Yes – measurements tend to focus on roads in better condition,Strongly agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Disagree,Incomplete or inconsistent condition records,Large impact,Very large impact,Very large impact,Very large impact,Very large impact,Very likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very familiar,Moderately familiar,Very familiar,Moderately familiar,Long term pavement performance,Human centric approach considering  comfortability and Cognitive Response of road users
82,Pavement Management,session_1780422001_2b3bccd2,2026-06-02 21:20:12,KeNHA,Headquarters (national coordination),Director,> 20 years,"Maintenance planning/prioritisation; Budget preparation and justification; Policy formulation; Other (specify): Design, Road safety","International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a small degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Emergency requirements; Traffic levels; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)",Somewhat consistent continuity (repeated measurements for many sections),Recorded sporadically and not linked to condition data,Disagree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Equipment availability or personnel skills; Regional accessibility,No – measurements are distributed similarly across the network,Disagree,Informal engineering judgement,Strongly disagree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Institutional culture favouring established decision practices over analytical modelling",Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Very likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Extremely useful,Very useful,Moderately familiar,Not at all familiar,Not at all familiar,Moderately familiar,"Strong and sustained data collection, recording, analysis and management of infrastructure database system-RAMS (not only limited to pavement). training and institutional capacity enhancement (skills and systems). Strengthen policy that embed and mainstream evidence based decision on making, automation, data integration",No
81,Pavement Management,session_1779948757_e3258ba3,2026-05-28 09:27:24,MTRD,Headquarters (national coordination),Senior Engineer,5–10 years,Pavement condition assessment,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Structural Number (SN); Other (please specify): Layer Modulus, residual life and Radius of curvature for Structural Condition Surveys",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Political or policy direction; Public complaints; Emergency requirements; Traffic levels",Somewhat consistent continuity (repeated measurements for many sections),Recorded and partially linked to condition data,Strongly disagree,No,,No – measurements are distributed similarly across the network,Disagree,Other (please specify): Yes...back-calculation of deflection data to get layer elastic modulus and residual life and even projecting it to get the reinforcement required to achieve the design life.,Agree,"Budget constraints; Limited integration between data systems (condition, maintenance, planning)",Large impact,Large impact,Large impact,Large impact,Very large impact,Very likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Extremely useful,Moderately familiar,Slightly familiar,Very familiar,Moderately familiar,,
80,Pavement Management,session_1779695778_da0efcfb,2026-05-25 11:20:59,KeNHA,Headquarters (national coordination),Assistant Director/Principal Engineer,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Road Management System (RMS) development and use/Data management; Use of HDM-4 or other modelling tools,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a small degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints",Somewhat consistent continuity (repeated measurements for many sections),Not systematically recorded,Strongly agree,Yes,Road class/strategic priority; Budget limitations; Regional accessibility,No – measurements are distributed similarly across the network,Strongly agree,No formal forecasting,Strongly disagree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories,Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Unlikely to consider,Quantified uncertainty (e.g. confidence ranges),Extremely useful,Extremely useful,Extremely useful,Extremely useful,Moderately familiar,Moderately familiar,Very familiar,Very familiar,"1. Data systems - It’s important that models are developed for the data gaps that’s e currently face for better decision making
2. Institutional Approaches - Budgeting and allocation to each project should be based on conditions and not on whims and political emotions 
3. Technical Capacity - we need structured training in asset management especially among engineers involved in Mtce since most of them are not clear of asset management practices and its attendant requirements. Data analysis, AI and such technologies should firm partyof the knowledge training","1. Forecasting - the best means is to use actual data, since these datasets are not available, use of models can help
2. Modeling - Models are only as good as the data used to develop them. I’m n my view the data sets available may need some argumentation to set good models for use in decision making. But models help in the absence of good data bases. The assumptions used in their development needs to be solid
3. Planning, asset management and allocation decisions should be based on good data - this is the reason many projects are failing early. We don’t use good data and this is because we don’t have good data. Good data acquisition, analysis and model should be the standard practice."
79,Pavement Management,session_1779483458_a0de4301,2026-05-23 00:51:43,KeNHA,"Regional office (regional work planning, implementation)",Assistant Director/Principal Engineer,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI)",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings",Fully consistent continuity (systematic repeated measurements across years for most sections),Recorded and systematically linked to condition data,Disagree,No,,No – measurements are distributed similarly across the network,Agree,Informal engineering judgement,Agree,"Limited integration between data systems (condition, maintenance, planning); Software/tool limitations",Small impact,Large impact,Small impact,Large impact,Large impact,Cannot say either way,"Demonstrated agreement with measured field data; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Moderately useful,Moderately familiar,Slightly familiar,Very familiar,Moderately familiar,Access to road asset management systems and training of technical teams.,"Considering that there is inadequate funding for maintenance activities, interventions mainly focus on the riding surface rather than longevity"
