Response ID,DMI,FMI,RRI,DRI
88,24.0,87.5,0,50.0
87,52.0,50.0,75,30.0
86,24.0,12.5,0,60.0
85,36.0,50.0,100,40.0
84,32.0,37.5,75,50.0
83,32.0,62.5,100,70.0
82,24.0,12.5,100,40.0
81,36.0,75.0,100,60.0
80,36.0,0.0,25,65.0
79,24.0,50.0,50,60.0
78,36.0,100.0,100,30.0
77,20.0,100.0,100,75.0
76,36.0,100.0,100,50.0
75,36.0,100.0,75,70.0
74,36.0,50.0,25,65.0
73,36.0,50.0,100,30.0
72,48.0,50.0,75,45.0
71,44.0,37.5,75,35.0
70,48.0,25.0,100,50.0
69,52.0,25.0,75,55.0
68,36.0,50.0,100,30.0
67,52.0,50.0,100,50.0
66,32.0,37.5,75,40.0
65,36.0,37.5,75,35.0
64,36.0,75.0,75,40.0
63,36.0,25.0,100,55.0
62,36.0,50.0,100,45.0
61,32.0,0.0,25,45.0
60,36.0,37.5,0,45.0
59,32.0,50.0,100,45.0
58,48.0,37.5,75,60.0
57,36.0,37.5,75,55.0
56,28.0,25.0,75,45.0
55,52.0,25.0,75,50.0
54,32.0,50.0,25,35.0
53,36.0,75.0,0,65.0
52,36.0,62.5,100,45.0
51,32.0,87.5,100,75.0
50,48.0,75.0,75,55.0
49,36.0,25.0,50,55.0
48,36.0,50.0,75,45.0
47,48.0,37.5,75,50.0
46,32.0,25.0,25,40.0
45,36.0,37.5,75,40.0
44,48.0,62.5,25,45.0
43,48.0,75.0,75,55.0
42,36.0,50.0,100,55.0
41,32.0,87.5,0,45.0
40,36.0,62.5,100,60.0
39,24.0,25.0,100,50.0
38,52.0,37.5,75,50.0
37,48.0,50.0,75,50.0
36,44.0,37.5,75,55.0
35,28.0,25.0,75,55.0
34,36.0,37.5,75,45.0
33,32.0,25.0,25,50.0
32,36.0,25.0,100,50.0
31,36.0,62.5,0,55.0
30,32.0,87.5,75,50.0
29,48.0,87.5,0,65.0
28,52.0,37.5,100,50.0
27,20.0,50.0,50,55.0
26,36.0,87.5,75,50.0
25,52.0,87.5,75,40.0
24,48.0,37.5,25,50.0
23,36.0,100.0,100,50.0
22,36.0,87.5,75,50.0
21,48.0,75.0,0,55.0
20,52.0,62.5,25,75.0
19,48.0,100.0,100,45.0
18,48.0,87.5,100,55.0
17,32.0,12.5,75,40.0
16,32.0,75.0,75,35.0
15,36.0,25.0,0,30.0
14,36.0,25.0,75,65.0
13,52.0,62.5,100,70.0
12,36.0,75.0,75,35.0
11,32.0,87.5,100,60.0
10,36.0,75.0,100,70.0
9,36.0,37.5,75,65.0
8,36.0,37.5,100,60.0
